pos	hard	m60_margin	m67_margin	m74_margin	m60_cand	m67_cand	m74_cand
0.32	0.12	+1.49	-3.30	-5.58	13.28	16.43	14.52
0.32	0.20	+0.74	-3.37	-4.45	14.03	16.51	13.40
0.32	0.30	+0.73	-3.08	+2.80	14.04	16.21	6.15
0.32	0.42	+0.80	-2.38	-4.13	13.97	15.51	13.08
0.36	0.12	-2.50	-1.14	-1.42	17.27	14.27	10.36
0.36	0.20	-0.51	-1.09	+0.98	15.28	14.22	7.96
0.36	0.30	-0.01	-0.79	+1.09	14.78	13.92	7.85
0.36	0.42	+0.38	-0.27	-1.51	14.39	13.40	10.45
0.41	0.12	+0.00	-2.08	-1.35	14.77	15.21	10.29
0.41	0.20	+0.71	-1.92	+1.44	14.06	15.05	7.51
0.41	0.30	+0.72	-1.61	-3.21	14.05	14.74	12.15
0.41	0.42	+0.87	-0.64	-4.44	13.90	13.77	13.39
0.46	0.12	+2.44	-1.50	-0.35	12.33	14.63	9.29
0.46	0.20	+2.09	-1.68	-3.47	12.69	14.81	12.41
0.46	0.30	+2.19	-1.51	-4.85	12.58	14.64	13.79
0.46	0.42	+2.56	+0.01	-5.53	12.21	13.12	14.47
0.50	0.12	+3.50	-0.32	-0.58	11.27	13.45	9.53
0.50	0.20	+3.13	-0.25	-6.97	11.64	13.38	15.91
0.50	0.30	+2.83	+0.48	-8.09	11.94	12.65	17.03
0.50	0.42	+2.56	+3.23	-8.34	12.21	9.90	17.28
